id,image,name,old_price,new_price,category,save
108,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/nevilob-5mg-14-tab-lbwq-01670667210.png,Nevilob | 5Mg | 14Tab,,49,medication,
109,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/ketofan-50-mg-20-cap-b3kw-01694349669.png,Ketofan | 50mg | 20Capsules,,20,medication,
110,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/crestor-5mg-7-tab-vqkm-01670668495.png,Crestor | 5mg | 7tab,,37.5,medication,
111,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1626262581hyfresh-02-eye-drops-10ml-chefaajpg,Hyfresh | 0.2% Eye Drops | 10ml,,49.5,medication,
112,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/vividol-hair-oil-250ml-j33w-01674896142.png,Vividol | Hair Oil | 250ml,,225,medication,
113,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/aloekita-ds-da-caffeine-rich-shampoo-250ml-ciuh-01674467422.png,Aloekita | DS DA Caffeine Rich Shampoo | 250ml,,180,medication,
114,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/voltaren-emulgel-1-cases-of-arthritis-100g-r7vp-01664279132.png,Voltaren | Emulgel for Muscle & Back Pain Relief 1% | 100gm,,44.75,medication,
115,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/diamicron-mr-type2-diabetes-30mg-30tab-8g5s-01668861388.png,Diamicron MR | Type 2 Diabetes | 30 mg | 30 Tab,,36,medication,
116,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/amaryl-lower-blood-sugar-4mg-30tab-7r7j-01666711170.png,Amaryl | Lower Blood Sugar | 4 mg | 30 Tab,,79.5,medication,
117,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/folic-acid-mepaco-500-mcg-20-tabs-52ks-01670681801.png,Folic Acid (MEPACO) | 500Mcg | 20Tab,,22,medication,
118,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/panthenol-cream-2-50gm-bhkv-01667201259.png,Panthenol | Cream 2% | 50gm,,30,medication,
119,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/hemoclar-cream-05-40-gm-01690294444.png,Hemoclar | Cream 0.5 | 40gm,,23.5,medication,
120,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/alerid-anti-allergic-5mg5ml-120ml-susp-p7ng-01670420030.png,Alerid | Susp Anti-Allergic 5mg/5ml | 120ml,,10.5,medication,
121,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lacovimp-antiepileptic-100mg-30tab-e4mo-01666103097.png,Lacovimp | Antiepileptic | 100 mg | 30 Tab,,292.5,medication,
122,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/coveram-high-blood-pressure-1010mg-15tab-mn3o-01665580042.png,Coveram | High Blood Pressure 10/10mg | 15 Tabs,,114,medication,
123,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/erastapex-co-high-blood-pressure-40mg5mg-30tab-7jqc-01665582205.png,Erastapex CO | High Blood Pressure 40/5mg | 30 Tabs,,78,medication,
124,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/co-tareg-160125mg-14tab-qwju-01683565137.png,Co Tareg | 160/12.5Mg | 14Tab,,112,medication,
125,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/tranex-500mg-30tab-ehap-01669509713.png,Tranex | 500mg | 30Tab,,54,medication,
126,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/flagyl-500-tablet-01665653340.png,Flagyl | Intestinal Antiseptic 500ml | 20 Tabs,,23,medication,
127,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/akanza-15-ml-01691911338.png,Akanza Spray | 15ml,,90,medication,
128,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/streptoquin-10-tabs-pfja-01686675945.png,Streptoquin | 10Tab,,11.5,medication,
129,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628292091viagra-sexual-problems-100mgpng,Viagra | Sexual Problems 100mg | 4 Tabs,,100,medication,
130,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/viagra-50-mg-01686657145.png,Viagra | Sexual Problems 50mg | 4 Tabs,,78,medication,
131,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/relax-muscle-stretcher-20cap-lbm2-01669631769.png,Relax | Muscle Stretcher | 20 Caps,,26,medication,
132,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628293497virecta-the-golden-box-100mg-9-tabs-chefaajpeg,Virecta | for Erectile Dysfunction | 100mg | 9 Tabs,,51,medication,
133,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/lary-pro-20-lozenges-01686654584.png,Larypro | To Treat Sore Throat | 20 Lozenges,,27,medication,
134,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631093796clearest-capsule-to-treat-allergies-14-capsulesjpg,Clearest Capsule | To Treat Allergies | 14 Capsules,,27,medication,
135,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/moov-topical-analgesic-40gm-cream-wjvf-01668174057.png,Moov Massage | Cream Topical Analgesic | 40gm,,14.5,medication,
136,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/16309226631-2-3-cold-and-flu-20-tabsjpg,1 2 3 | Cold And Flu | 20 Tabs,,20,medication,
137,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631008707selgon-for-dry-cough-20-tabsjpg,Selgon | For Dry Cough | 20 Tabs,,18,medication,
138,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/agiolax-sachets-01675954686.png,Agiolax | Natural Laxative Granules | 12 Sachets,,60,medication,
139,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1631020895otal-ear-drops-for-ear-infectionsjpg,Otal | Ear Drops | For Ear Infections,,13,medication,
140,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/fucidine-30gm-cream-01686655287.png,Fucidine | Cream | 30gm,,53,medication,
141,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1609143725fucidin-cream-15gm-1jpg,Fucidine | cream | 15gm,,30,medication,
142,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/pain-reliefer-neuritis-30cap-rkyg-01666279828.png,Pain Reliefer | Neuritis | 30 Caps,,46.5,medication,
143,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/1628606577miconaz-2-oral-gel-20gm-chefaajpeg,Miconaz | 2% Oral Gel | 20gm,,14.5,medication,
144,https://cdn.chefaa.com/filters:format(webp)/public/uploads/products/beta-carotene-forte-20cap-pgmi-01681076563.png,Beta Carotene Forte | 20Cap,,14.4,medication,
